ngram,freq
the_DET,12161052052
of_ADP,7278814531
and_CONJ,6533614827
to_PRT,5722016002
a_DET,4281693151
in_ADP,3973528000
is_VERB,2131984550
I_PRON,1895191855
for_ADP,1814223904
was_VERB,1751648374
not_ADV,1577551706
with_ADP,1539222834
The_DET,1403290096
it_PRON,1365812962
on_ADP,1277311002
as_ADP,1266226727
that_ADP,1257503021
be_VERB,1227650087
:_.,1193266046
that_DET,1085516922
you_PRON,1085025696
he_PRON,1051424313
his_PRON,1043186114
by_ADP,1000130124
or_CONJ,982849709
are_VERB,982058797
her_PRON,939008700
from_ADP,928358996
at_ADP,927943636
had_VERB,851806969
;_.,821304764
have_VERB,807174160
this_DET,802136567
?_.,751404144
an_DET,714773292
but_CONJ,633204996
she_PRON,622798447
were_VERB,593516792
they_PRON,582466227
which_DET,564909013
can_VERB,559123310
their_PRON,546021091
we_PRON,515450958
all_DET,505922275
my_PRON,486607225
He_PRON,469529460
would_VERB,468074558
him_PRON,459966877
me_PRON,433517174
do_VERB,431739680
In_ADP,423016246
been_VERB,419558529
It_PRON,417449602
will_VERB,405657958
one_NUM,399898350
has_VERB,394883282
into_ADP,381100283
who_PRON,376847437
about_ADP,369232363
them_PRON,364260990
when_ADV,361565116
said_VERB,350404047
if_ADP,350367240
other_ADJ,346559082
could_VERB,345555592
time_NOUN,344137821
what_PRON,333758495
your_PRON,332758353
than_ADP,307174704
did_VERB,303606831
also_ADV,301198783
She_PRON,299482937
its_PRON,287712694
up_PRT,283648212
so_ADV,278860636
some_DET,277834386
This_DET,276693266
A_DET,266166716
no_DET,262749222
may_VERB,261824944
out_PRT,259304901
then_ADV,250653765
there_DET,244875990
these_DET,244557306
two_NUM,238559452
see_VERB,238325812
like_ADP,237028743
more_ADV,234154649
as_ADV,233794878
any_DET,232559028
only_ADV,229476878
our_PRON,227267598
You_PRON,220600903
such_ADJ,220188566
]_X,219712565
[_X,218458659
But_CONJ,211319102
just_ADV,210471808
through_ADP,208755972
between_ADP,205896993
how_ADV,205773649
way_NOUN,200669012
people_NOUN,199633836
know_VERB,198272447
And_CONJ,195599970
should_VERB,195465820
more_ADJ,195322366
We_PRON,195293908
where_ADV,192820981
over_ADP,191867164
even_ADV,183589923
now_ADV,182275005
after_ADP,178172011
made_VERB,177556756
because_ADP,175532239
back_ADV,173259441
first_ADJ,172671848
new_ADJ,170320523
us_PRON,170137072
They_PRON,164677790
those_DET,163144386
many_ADJ,162499684
get_VERB,161183495
life_NOUN,160230516
If_ADP,160061920
make_VERB,158645229
very_ADV,156803197
before_ADP,155437589
used_VERB,153948411
For_ADP,153619466
well_ADV,150110713
man_NOUN,149700258
each_DET,149290975
same_ADJ,147546325
must_VERB,145813611
both_DET,145056907
being_VERB,144921048
here_ADV,143854284
good_ADJ,142203393
years_NOUN,138865484
own_ADJ,136430929
What_PRON,134596341
As_ADP,133089824
too_ADV,132694620
s_PRT,132497275
There_DET,132358597
go_VERB,130917021
does_VERB,129785019
still_ADV,129444537
take_VERB,126722449
under_ADP,125320646
most_ADV,124012065
think_VERB,123663362
When_ADV,123053286
might_VERB,122691566
different_ADJ,121722642
work_NOUN,120654185
never_ADV,119884505
God_NOUN,119639777
day_NOUN,119600696
part_NOUN,117729828
again_ADV,115510719
al_NOUN,115188133
out_ADP,114968367
another_DET,114014489
going_VERB,113879749
want_VERB,113016391
come_VERB,112654820
world_NOUN,111795499
found_VERB,111364766
New_NOUN,111076876
without_ADP,110289922
against_ADP,109715044
three_NUM,107215381
system_NOUN,107105264
while_ADP,106986075
hand_NOUN,106967637
say_VERB,106631182
something_NOUN,105424470
there_ADV,105144624
eyes_NOUN,103293853
away_ADV,102797738
case_NOUN,100776511
place_NOUN,100471846
little_ADJ,100350214
came_VERB,98448965
so_ADP,98331595
number_NOUN,98060992
within_ADP,97328667
head_NOUN,97314722
information_NOUN,96849762
That_DET,96647898
during_ADP,96180622
high_ADJ,95901034
down_PRT,95431723
example_NOUN,94222153
few_ADJ,93886017
around_ADP,93722108
long_ADJ,93402868
men_NOUN,92470697
social_ADJ,92355080
asked_VERB,91273132
need_VERB,91070483
things_NOUN,90441051
every_DET,90090475
old_ADJ,89763484
important_ADJ,89595575
always_ADV,89414389
took_VERB,88882213
looked_VERB,88744664
find_VERB,88508813
off_PRT,87961946
small_ADJ,87847526
children_NOUN,87478836
often_ADV,87322441
His_PRON,87040223
thought_VERB,86741158
University_NOUN,86158275
water_NOUN,85931061
got_VERB,85619412
data_NOUN,85510232
much_ADV,85501650
great_ADJ,84542335
et_NOUN,84226724
state_NOUN,84154055
home_NOUN,83629581
went_VERB,83489012
process_NOUN,83215567
J._NOUN,82323194
family_NOUN,82092679
power_NOUN,81663254
body_NOUN,81614881
called_VERB,81507151
until_ADP,81313149
room_NOUN,81067180
To_PRT,81065339
order_NOUN,80157143
given_VERB,79956204
last_ADJ,79941367
put_VERB,79511079
point_NOUN,78221517
face_NOUN,78040063
told_VERB,78027445
knew_VERB,77988595
using_VERB,77637899
use_NOUN,77364026
A_NOUN,77280970
women_NOUN,77158271
since_ADP,76257864
much_ADJ,75905559
large_ADJ,75651063
side_NOUN,75650305
use_VERB,75601352
=_X,75595367
left_VERB,75425285
himself_PRON,74657917
one_NOUN,74572857
end_NOUN,74129504
give_VERB,73392539
on_PRT,73336701
next_ADJ,72951762
p_NOUN,72320313
let_VERB,72158475
upon_ADP,71881975
These_DET,71759935
others_NOUN,71538980
At_ADP,71364208
fact_NOUN,71255805
am_VERB,70760093
person_NOUN,70748128
felt_VERB,70708863
How_ADV,70521518
human_ADJ,70274844
group_NOUN,69947341
seen_VERB,69833579
shall_VERB,68770699
course_NOUN,68564246
words_NOUN,68547838
really_ADV,68290262
8_NUM,68230416
house_NOUN,68182072
However_ADV,68101203
rather_ADV,67962708
year_NOUN,67583208
possible_ADJ,67476888
Then_ADV,67340676
law_NOUN,67064148
A._NOUN,67045809
door_NOUN,66963170
up_ADV,66465416
development_NOUN,66375053
right_ADJ,66315134
M._NOUN,66182575
become_VERB,66167278
research_NOUN,65985166
thing_NOUN,65780687
On_ADP,65634921
night_NOUN,65622929
Figure_NOUN,65522107
together_ADV,65354912
tell_VERB,65018519
why_ADV,64856176
York_NOUN,64773494
days_NOUN,64692633
though_ADP,64688112
saw_VERB,64598415
most_ADJ,64414927
wanted_VERB,64136992
help_VERB,64093807
My_PRON,64092618
turned_VERB,64076421
least_ADJ,63617436
including_VERB,63507884
second_ADJ,63494213
name_NOUN,63273778
book_NOUN,63215987
set_VERB,63012630
among_ADP,62889802
however_ADV,62721302
nothing_NOUN,62683233
look_VERB,62669350
political_ADJ,62461416
value_NOUN,62139287
done_VERB,62133208
form_NOUN,62129987
business_NOUN,61990908
later_ADV,61952202
far_ADV,61612906
Press_NOUN,61528107
woman_NOUN,61482263
John_NOUN,61315192
One_NUM,61245132
ever_ADV,61208622
already_ADV,61157114
best_ADJ,60942265
All_DET,60867081
once_ADV,60783578
mind_NOUN,60388009
able_ADJ,59989611
Do_VERB,59839612
mother_NOUN,59764238
across_ADP,59646622
several_ADJ,59399827
level_NOUN,59397027
public_ADJ,59392166
having_VERB,59387316
whether_ADP,59053565
young_ADJ,58970366
study_NOUN,58875869
feel_VERB,58737074
government_NOUN,58339564
father_NOUN,58219402
times_NOUN,58093593
hands_NOUN,58052245
United_NOUN,58048196
school_NOUN,57813569
After_ADP,57314404
based_VERB,57261503
anything_NOUN,57201331
model_NOUN,57040624
almost_ADV,56688084
9_NUM,56343672
heart_NOUN,56333812
moment_NOUN,56219628
taken_VERB,55962242
enough_ADV,55340372
control_NOUN,55066429
known_VERB,54925008
problem_NOUN,54924023
down_ADV,54807572
keep_VERB,54349636
sure_ADJ,54328192
States_NOUN,54285946
four_NUM,54278273
sense_NOUN,53977489
C_NOUN,53945233
Chapter_NOUN,53939209
area_NOUN,53730005
child_NOUN,53670822
began_VERB,53602353
full_ADJ,53544943
An_DET,53184810
question_NOUN,52563730
voice_NOUN,52459171
local_ADJ,52130205
U.S._NOUN,51932797
analysis_NOUN,51653617
line_NOUN,51531436
low_ADJ,51472917
making_VERB,51448913
common_ADJ,51300626
general_ADJ,51209320
particular_ADJ,51111023
•_NOUN,51076421
gave_VERB,51068869
students_NOUN,51056327
only_ADJ,50913278
kind_NOUN,50878746
whole_ADJ,50592068
seemed_VERB,50477400
certain_ADJ,50336151
knowledge_NOUN,50177758
following_VERB,50131934
With_ADP,50111262
along_ADP,49937718
London_NOUN,49849487
S._NOUN,49754449
country_NOUN,49730016
death_NOUN,49698859
Her_PRON,49667084
yet_ADV,49623819
doing_VERB,49442751
role_NOUN,49085539
early_ADJ,49041479
white_ADJ,49008293
